lat,lon,type,fee,name
44.8081,-124.0602,slipway,no,
46.1904,-123.8252,berth,no,USCGC Alert
46.1905,-123.8235,berth,no,USCGC Steadfast
45.5706,-122.7229,berth,no,USCGC Bluebell
45.4825,-123.2111,slipway,no,
45.9938,-123.9151,slipway,no,
45.9455,-117.4502,slipway,no,Troy Boat Launch
46.167,-116.7361,slipway,no,
46.0834,-116.9821,slipway,no,Heller Bar Alternate Boat Ramp
45.8045,-116.6863,slipway,no,Dug Bar Landing
45.9911,-117.3846,slipway,no,State Line Access
45.9571,-117.4238,slipway,no,Mallory Bridge Access
46.0248,-117.1456,slipway,no,Shumaker Access
45.8988,-117.4732,slipway,no,Mud Creek Access
45.6217,-117.7215,slipway,no,Minam Boat Launch
45.5887,-120.4095,slipway,no,
42.2576,-123.5707,slipway,no,
44.1288,-122.3797,slipway,no,
44.9842,-116.8586,slipway,no,Copperfield Boat Ramp
44.0506,-121.3223,slipway,no,
45.1602,-120.4706,slipway,no,Thirtymile Boat Launch
44.306,-120.7035,slipway,no,
42.284,-120.6422,dock,no,Dock
44.4348,-124.0595,slipway,no,Alsea Bay Boat Launch
42.1706,-122.4642,fishing,no,Fish cleaning
42.5545,-124.0584,fishing,no,John Carl Guide Service
43.8871,-121.4547,slipway,no,
44.1227,-120.6868,slipway,no,
42.1839,-122.4492,slipway,no,Wildcat Boat Ramp
44.676,-118.078,slipway,no,
44.4913,-122.8181,slipway,no,
42.3542,-123.7843,slipway,no,Miami Bar Boating Site
44.74,-120.2713,slipway,no,Priest Hole Boat Launch
43.7894,-123.0247,fishing,no,
45.328,-122.3822,slipway,no,Elmer Feldheimer Boat Landing
45.2394,-122.2592,slipway,no,
44.7923,-120.0007,slipway,no,
44.7427,-120.2806,slipway,no,
44.3641,-123.8273,slipway,no,Five Rivers boat launch
44.346,-123.7216,slipway,no,
44.3658,-123.6896,slipway,no,
44.3848,-123.6285,slipway,no,
45.7173,-121.511,slipway,no,Kitesurf launch
45.7159,-121.5132,slipway,no,Windsurf launch
45.8124,-119.9669,slipway,no,
45.8117,-119.9698,slipway,no,
45.7167,-121.5254,slipway,no,Windsurf launch
45.716,-121.5269,slipway,no,Windsurf launch
44.2051,-122.04,slipway,no,Frissell Boat Launch
42.4218,-120.1617,slipway,no,
45.5582,-122.4601,slipway,no,
45.5774,-122.3768,slipway,no,
44.673,-121.2321,slipway,no,
43.7145,-121.276,slipway,yes,
44.1124,-123.0481,slipway,no,
43.9843,-123.6601,slipway,no,Whittaker Creek Boat Ramp
43.2964,-123.1059,slipway,no,Colliding Rivers Boat Ramp
44.1162,-122.4429,slipway,no,
44.5697,-123.2557,slipway,no,Michael's Landing
44.1174,-123.3146,slipway,no,
44.6256,-124.0564,seamark,no,
42.2347,-121.8147,slipway,no,
42.2349,-121.8094,slipway,no,
44.915,-123.0168,slipway,no,
45.5837,-122.3443,slipway,no,
45.6941,-121.8778,slipway,no,
44.1449,-122.5898,slipway,no,EWEB Boat Ramp
44.0536,-124.0971,slipway,no,Sutton Lake Boat Launch
45.7156,-121.6446,slipway,no,Drano Run Launch
42.5705,-121.879,slipway,no,
44.4011,-116.9001,slipway,no,
46.2922,-122.2661,slipway,no,Coldwater Lake Boat Ramp
45.555,-122.4914,slipway,no,
45.7035,-121.4738,slipway,no,
45.6713,-122.7432,slipway,no,
43.561,-116.6616,slipway,no,
43.5878,-116.7287,slipway,no,
45.3939,-122.7992,slipway,no,
45.8582,-122.7746,slipway,yes,Steven's Moorage Boat Launch
43.5008,-121.9728,marina,no,Hoodoo Marina
43.4082,-119.3998,slipway,no,
46.1779,-123.9651,dock,no,
44.0452,-123.0265,slipway,no,
44.1317,-122.5193,slipway,no,
45.9996,-122.8456,fishing,no,
44.0709,-123.786,slipway,no,
